,Unnamed: 0_x,Product,fuel,odometer,paint_color,title_status,transmission,condition,engine_displaement,type,VIN,make,model,Price_x,year_x,City_x,Unnamed: 0_y,Price_y,year_y,City_y,Brand
0,0,1941 Harley-Davidson Knucklehead w/SC David Mann Wedding SKU:M02,gas,10279,custom,clean,other,,,,,,,79980,1941,dallas,0.0,79980.0,1941.0,dallas,harleydavidson
1,1,1961 Triumph,,,,,,,,,,,,5750,1961,waco,2.0,5750.0,1961.0,waco,triumph
2,2,1965 Triumph w/trailer,gas,1234,,clean,other,fair,,,,,,2500,1965,austin,3.0,2500.0,1965.0,austin,triumph
3,3,1969 CB450,gas,1234,,missing,manual,excellent,450,,,,,2500,1969,dallas,5.0,2500.0,1969.0,dallas,cb450
4,4,1970 500TT Chopper Project,gas,2000,,,manual,,,,,,,3950,1970,dallas,7.0,3950.0,1970.0,dallas,500tt
5,5,1970 Rupp Roadster Restored Showpiece,gas,222,red,,automatic,like new,172,,,,,4500,1970,houston,8.0,4500.0,1970.0,houston,rupp
6,6,1970 Yamaha AT1 125 Enduro,gas,2500,,,manual,,,,,,,3250,1970,corpuschristi,9.0,3250.0,1970.0,corpuschristi,yamaha
7,7,1972 Honda CB350,gas,4283,red,clean,manual,good,350,standard,,,,3000,1972,sanantonio,11.0,3000.0,1972.0,sanantonio,honda
8,8,1972 Vintage Honda CB450,gas,10000,black,clean,manual,,,,,,,4800,1972,austin,13.0,4800.0,1972.0,austin,vintage
9,9,1973 Honda CB175,gas,9204,orange,clean,manual,excellent,174,standard,,,,5500,1973,dallas,14.0,5500.0,1973.0,dallas,honda
10,10,1973 R60/5 BMW Airhead with original touring cases NICE!,gas,42000,green,clean,manual,excellent,,,,,,5200,1973,austin,15.0,5200.0,1973.0,austin,r605
11,11,1974 Honda CB450 race bike,gas,20,silver,,manual,excellent,498,other,,,,9250,1974,dallas,16.0,9250.0,1974.0,dallas,honda
12,12,1974 Yamaha RD 350,gas,8135,red,clean,manual,excellent,350,street,,,,4500,1974,houston,17.0,4500.0,1974.0,houston,yamaha
13,13,1974 honda cl 450,gas,9865,,,manual,,450,cafe racer,,,,4200,1974,austin,18.0,4200.0,1974.0,austin,honda
14,14,1975 HONDA CB750F,gas,18633,custom,clean,manual,excellent,750,standard,,,,3000,1975,corpuschristi,19.0,3000.0,1975.0,corpuschristi,honda
15,15,1975 moto guzzi 850-T,gas,27921,red,clean,manual,excellent,850,sport bike,,,,4500,1975,sanantonio,21.0,4500.0,1975.0,sanantonio,moto
16,16,1977 Honda CB750,gas,100000,,,manual,fair,750,,,,,2500,1977,austin,22.0,2500.0,1977.0,austin,honda
17,17,1977 Honda CT 70,gas,odometer broken,,,manual,,,,,,,1400,1977,sanantonio,23.0,1400.0,1977.0,sanantonio,honda
18,18,1978 Suzuki GS750 OBO,gas,20000,,,manual,,,,,,,800,1978,corpuschristi,24.0,800.0,1978.0,corpuschristi,suzuki
19,19,1978 Triumph Bonneville Cafe Racer,gas,odometer broken,black,clean,manual,,750,cafe racer,,,,6950,1978,austin,25.0,6950.0,1978.0,austin,triumph
20,20,1979 CX500 Cafe Racer Project,gas,1000,custom,parts only,manual,fair,496,cafe racer,PC01E2000893,,,1850,1979,brownsville,26.0,1850.0,1979.0,brownsville,cx500
21,21,1979 Harley-Davidson Sportster,gas,15500,,missing,manual,,1000,,,,,1500,1979,austin,27.0,1500.0,1979.0,austin,harleydavidson
22,22,1979 VW Trike!,gas,11162,black,clean,manual,good,1600,trike,,,,4500,1979,dallas,28.0,4500.0,1979.0,dallas,vw
23,23,1980 CT 110,gas,4500,red,salvage,manual,excellent,110,moped,,,,3000,1980,dallas,30.0,3000.0,1980.0,dallas,ct
24,24,1980 Harley Davidson FLH,gas,9400,black,clean,manual,good,1310,cruiser,,,,8100,1980,amarillo,31.0,8100.0,1980.0,amarillo,harley
25,25,1980 Harley Davidson Fxwg,gas,10000,,clean,manual,,1350,,,,,5000,1980,austin,32.0,5000.0,1980.0,austin,harley
26,26,"1980 YAHAMA 650cc SX RUNS GREAT ! 17,000 MILES 1ST $2800 CASH !",gas,17000,custom,clean,manual,good,650,,,,,2800,1980,corpuschristi,34.0,2800.0,1980.0,corpuschristi,yahama
27,27,1980 YAMAHA 650cc SX TWEEN LOOKS AND RUNS GREAT,gas,17000,blue,clean,manual,good,650,,,,,2800,1980,austin,35.0,2800.0,1980.0,austin,yamaha
28,28,1980 YAMAHA XS,gas,31571,custom,clean,manual,good,1100,cruiser,3J6010064,,,2700,1980,amarillo,36.0,2700.0,1980.0,amarillo,yamaha
29,29,1980 Yamaha Cafe Racer,gas,15477,,,manual,good,,cafe racer,,,,2000,1980,mcallen,37.0,2000.0,1980.0,mcallen,yamaha
30,30,1981 Harley Shovelhead,gas,72000,,clean,manual,good,,scooter,,,,5000,1981,waco,39.0,5000.0,1981.0,waco,harley
31,31,1982 Honda CB 900,gas,11000,red,clean,manual,good,,dual-sport,,,,3900,1982,austin,40.0,3900.0,1982.0,austin,honda
32,32,1982 Kawasaki 1000 muscle bike,gas,7832,black,clean,manual,excellent,1000,street,,,,3500,1982,houston,42.0,3500.0,1982.0,houston,kawasaki
33,33,1982 Yamaha Virago xv750J,gas,20000,black,clean,manual,good,750,cruiser,,,,1100,1982,corpuschristi,43.0,1100.0,1982.0,corpuschristi,yamaha
34,34,1982 fxb Sturgis,gas,9200,silver,clean,manual,good,,,,,,7500,1982,waco,45.0,7500.0,1982.0,waco,fxb
35,35,1983 Honda Gold Wing GL1100 Touring Bike,gas,31700,red,clean,manual,excellent,1100,cruiser,,,,4450,1983,austin,46.0,4450.0,1983.0,austin,honda
36,36,1983 RM250 works replica race ready ahrma suzuki,gas,1234,yellow,missing,manual,excellent,250,dirtbike,,,,5650,1983,sanantonio,49.0,5650.0,1983.0,sanantonio,rm250
37,37,1985 Yamaha xj650,gas,28808,red,clean,manual,fair,,street,,,,1500,1985,austin,50.0,1500.0,1985.0,austin,yamaha
38,38,1986 BMW K75C,gas,25325,blue,clean,automatic,good,750,dual-sport,WB1057402G0130339,,,2700,1986,amarillo,51.0,2700.0,1986.0,amarillo,bmw
39,39,1986 HONDA FATCAT,gas,12345,,,manual,,,,,,,6500,1986,austin,52.0,6500.0,1986.0,austin,honda
40,40,1986 HONDA FATCAT TR200,gas,1223,,,automatic,,,,,,,6500,1986,dallas,53.0,6500.0,1986.0,dallas,honda
41,41,1986 Harley Davidson DYNA GLIDE FXRD MOTORCYCLE,gas,500,red,clean,manual,excellent,1340,sport touring,,,,7500,1986,amarillo,54.0,7500.0,1986.0,amarillo,harley
42,42,1986 Honda Fatcat TR200,gas,1223,,,automatic,,,,,,,6500,1986,dallas,55.0,6500.0,1986.0,dallas,honda
43,43,1986 Honda Shadow 1100,gas,19345,black,clean,manual,good,1100,cruiser,,,,2500,1986,austin,56.0,2500.0,1986.0,austin,honda
44,44,1986 Kawasaki ZX900 Ninja,gas,1406,,,manual,excellent,,sport bike,,,,4200,1986,houston,57.0,4200.0,1986.0,houston,kawasaki
45,45,1987 Harley Davidson Softail,gas,13485,,,automatic,excellent,,,,,,7000,1987,dallas,58.0,7000.0,1987.0,dallas,harley
46,46,1988 Honda Shadow VT 800,gas,16933,red,clean,manual,good,800,cruiser,,,,2000,1988,amarillo,61.0,2000.0,1988.0,amarillo,honda
47,47,1990 Suzuki VX800,gas,1111,black,clean,manual,,,,,,,2000,1990,amarillo,63.0,2000.0,1990.0,amarillo,suzuki
48,48,1992 BMW R100GSPD,gas,9400,red,salvage,manual,excellent,980,dual-sport,WB1048904N0047252,,,8500,1992,easttexas,64.0,8500.0,1992.0,easttexas,bmw
49,49,1992 YAMAHA FJ 1200 Sport Tourer,gas,33176,blue,clean,manual,excellent,1200,sport touring,,,,2500,1992,corpuschristi,67.0,2500.0,1992.0,corpuschristi,yamaha
50,50,1993 GL 1500 SE GOLDWING CHAMPION MOTOR TRIKE GL 1800 PERFECT ONLY 68K,gas,68060,white,clean,manual,like new,1500,touring,1HFSC2238PA501621,,,13900,1993,houston,68.0,13900.0,1993.0,houston,gl
51,51,1993 Honda Shadow 750,gas,36433,black,clean,manual,excellent,750,cruiser,,,,3200,1993,houston,70.0,3200.0,1993.0,houston,honda
52,52,1994 Honda Shadow 1100,gas,28000,black,clean,manual,good,1100,cruiser,,,,3500,1994,dallas,71.0,3500.0,1994.0,dallas,honda
53,53,1994 honda goldwing interstate,gas,72000,red,clean,manual,,,,,,,3500,1994,amarillo,72.0,3500.0,1994.0,amarillo,honda
54,54,1995 Harley-Davidson Electra Glide Ultra Classic SKU,gas,8212,custom,clean,other,,,,,,,29980,1995,dallas,73.0,29980.0,1995.0,dallas,harleydavidson
55,55,1995 Superglide / storage unit find,gas,10000000,red,clean,manual,like new,,bobber,,,,7500,1995,austin,75.0,7500.0,1995.0,austin,superglide
56,56,1995 honda magna 750,gas,8905,black,missing,manual,fair,,,,,,2000,1995,dallas,76.0,2000.0,1995.0,dallas,honda
